node_id,in_degree,out_degree,betweenness,pagerank
17f69a6c3fcl0i1uyzw7a7ssn0qlpp,0,0,0.0,0.0004023146579145736
17f69a1be26l0i1uz1kl2dyuibof4d,4,6,9.3484692241202e-06,0.0005660557968836597
17f69a36cf8l0i1uz6gmzy0dr777k,0,5,0.0,0.0004023146579145736
17f699438b8l0i1uze1493a9h5ipk3,3,6,7.191130172400154e-07,0.0005358571824659078
17f699ad704l0i1uzmqfup4jxyto7,0,3,0.0,0.0004023146579145736
17f697e343bl0i1uznxx67p026exqf,1,15,1.598028927200034e-07,0.00042512871976982923
17f69cfaee3l0i1uzongoyxg1dptid,0,2,0.0,0.0004023146579145736
17f69bc8bd6l0i1v03619u4s9j9ql,1,0,0.0,0.000573420121828991
17f6992c3e3l0i1v0af3d14p4dcgzx,5,30,2.4469817947750522e-05,0.0004760132308562101
17f69cf967fl0i1v0cmt73nix34p0c,0,1,0.0,0.0004023146579145736
17f69ae5092l0i1v0k714w3s2jz8tj,0,2,0.0,0.0004023146579145736
17f69b19e80l0i1v0x2eima4yhdbd,0,6,0.0,0.0004023146579145736
17f69de0562l0i1v105zzs817wea9m,11,16,6.711721494240144e-06,0.000627811160585142
17f699179aal0i1v13n497m1yhps2s,2,11,9.588173563200206e-07,0.0004492368769477282
17f696d979al0i1v1775oof02bi8oh,2,7,4.794086781600103e-07,0.00047779442542949125
17f698d3cc6l0i1v18wptud2du5ts,0,2,0.0,0.0004023146579145736
17f69ca8b2al0i1v1pg987jdl4cd68,4,6,5.992608477000129e-06,0.0008980867816311472
17f6982dbf7l0i1v1r3i4p5cy7kvcs,0,1,0.0,0.0004023146579145736
17f6987c932l0i1v1t55h6j6fm1l83,0,0,0.0,0.0004023146579145736
17f69dc74fdl0i1v1wz3qrzn19aps8,11,0,0.0,0.0018306906514220388
17f6968dcfal0i1v1y8dnaop27j5qg,3,25,2.157339051720046e-06,0.0004439309996018434
17f69621aadl0i1v2f5fkvee5z6719,1,9,4.794086781600103e-07,0.00043653575069745704
